,Eigenfunctions,Hole radius in the mesh,Spectral coefficients of the eigenfunctions
0,"$\gamma_{0,0}$",0,4.25135585915147
1,"$\gamma_{1,0}$",0,-2.74896046029274E-06
2,"$\gamma_{1,1}$",0,-3.6731805119329E-06
3,"$\gamma_{2,0}$",0,-2.75343526792101E-05
4,"$\gamma_{2,1}$",0,-1.04574966439005E-05
5,"$\gamma_{2,2}$",0,-2.39657774534665E-05
6,"$\gamma_{3,0}$",0,1.46890766695128E-07
7,"$\gamma_{3,1}$",0,3.72488447345399E-06
8,"$\gamma_{3,2}$",0,1.82859469435325E-05
9,"$\gamma_{3,3}$",0,1.07701995082653E-05
10,"$\gamma_{4,0}$",0,-0.000100096595846
11,"$\gamma_{4,1}$",0,-1.63419005800948E-05
12,"$\gamma_{4,2}$",0,5.30077558537103E-06
13,"$\gamma_{4,3}$",0,-2.25757209424147E-05
14,"$\gamma_{4,4}$",0,1.36497171022505E-05
